phase,sleepHours,sleepQuality,energy,mood,muscleSoreness,sleepDebt,acuteLoad,chronicLoad,recoveryScore
Late Luteal,7.5,4,3,2,2,0.5,102.7,47.2,59.0
Menstrual,7.1,5,4,4,2,0.9,398.1,404.4,56.8
Late Luteal,5.7,4,4,3,2,2.3,268.5,158.4,41.0
Late Luteal,7.4,3,2,2,2,0.6,332.0,290.9,43.7
Late Luteal,7.2,4,3,2,1,0.8,131.4,123.7,65.4
Menstrual,6.2,2,2,3,3,1.8,264.0,290.7,24.6
Follicular,6.8,3,3,3,2,1.2,134.7,111.0,50.2
Menstrual,5.8,3,2,3,2,2.2,143.6,243.6,35.2
Late Luteal,7.4,4,4,3,2,0.6,218.3,169.5,57.3
Late Luteal,6.7,3,2,2,1,1.3,93.4,0.0,54.8
Follicular,6.3,2,2,3,1,1.7,71.0,123.1,41.0
Late Luteal,7.9,4,4,3,1,0.1,157.1,232.3,72.5
Late Luteal,6.1,3,2,2,3,1.9,276.9,187.5,33.5
Follicular,6.7,3,3,4,4,1.3,547.4,583.6,30.3
Early Luteal,7.7,4,3,3,1,0.3,150.3,169.3,61.5
Ovulation,6.4,3,3,3,2,1.6,195.1,168.0,49.1
Late Luteal,6.4,3,2,2,5,1.6,800.0,831.2,12.0
Menstrual,6.6,4,3,3,2,1.4,102.5,202.5,47.0
Late Luteal,5.5,3,2,2,2,2.5,215.9,221.4,30.4
Follicular,7.5,4,3,2,2,0.5,293.9,319.9,53.6
Early Luteal,6.8,3,3,3,4,1.2,498.8,566.5,28.8
Early Luteal,6.8,2,3,3,2,1.2,209.8,208.0,38.7
Menstrual,8.0,4,3,2,2,0.0,100.9,145.6,62.2
Menstrual,6.2,3,2,3,1,1.8,52.7,0.0,42.3
Menstrual,8.9,3,4,3,1,0.0,134.4,95.5,66.7
Menstrual,7.7,5,3,3,2,0.3,248.9,201.0,59.9
Early Luteal,6.4,4,4,5,1,1.6,115.1,153.3,59.3
Follicular,8.1,5,4,4,4,0.0,664.3,602.4,49.8
Late Luteal,7.6,3,2,2,3,0.4,468.9,368.0,38.3
Early Luteal,6.5,4,4,5,3,1.5,417.2,479.3,41.6
Late Luteal,6.0,3,3,2,1,2.0,40.7,90.4,46.0
Early Luteal,5.9,3,2,4,1,2.1,57.2,91.0,51.5
Early Luteal,9.0,5,4,5,2,0.0,149.5,87.1,80.2
Follicular,6.9,3,4,4,1,1.1,83.4,125.4,51.7
Early Luteal,6.6,3,3,4,3,1.4,371.7,281.2,41.4
Follicular,7.6,4,4,3,3,0.4,338.1,267.2,54.7
Menstrual,6.9,2,2,3,3,1.1,336.1,324.9,33.9
Menstrual,8.0,3,3,2,3,0.0,385.4,406.4,39.8
Ovulation,7.5,4,3,3,3,0.5,265.0,154.8,53.8
Menstrual,6.0,2,3,3,2,2.0,132.4,90.8,35.2
Follicular,7.1,4,3,3,1,0.9,8.2,0.0,65.2
Follicular,6.7,3,4,4,3,1.3,279.5,379.5,42.6
Early Luteal,7.4,4,3,3,1,0.6,50.1,62.6,64.5
Early Luteal,6.3,2,3,3,2,1.7,166.3,266.3,35.4
Early Luteal,7.4,4,4,4,3,0.6,503.3,388.8,46.9
Early Luteal,5.8,3,2,2,3,2.2,443.0,512.5,30.6
Early Luteal,7.7,4,3,3,2,0.3,132.4,138.0,63.1
Follicular,8.1,4,4,3,2,0.0,107.5,55.8,74.9
Early Luteal,7.2,4,4,4,1,0.8,71.1,0.0,65.6
Ovulation,7.1,4,4,4,3,0.9,277.5,283.4,52.5
Follicular,7.2,4,4,4,2,0.8,352.1,262.0,55.5
Follicular,7.0,3,4,3,1,1.0,107.4,0.0,62.3
Menstrual,5.3,2,2,2,1,2.7,44.3,42.4,30.8
Early Luteal,7.5,3,3,2,2,0.5,395.3,495.3,50.3
Early Luteal,7.4,4,3,3,1,0.6,169.5,247.3,63.8
Follicular,7.8,4,4,4,1,0.2,0.9,0.0,74.7
Menstrual,6.1,3,3,3,2,1.9,170.4,169.1,36.3
Follicular,6.7,4,3,3,2,1.3,55.1,24.1,55.4
Late Luteal,5.5,3,2,2,2,2.5,263.6,328.3,28.3
Early Luteal,7.2,5,3,4,4,0.8,652.7,455.3,48.2
Early Luteal,7.6,3,3,3,2,0.4,181.4,281.4,59.1
Early Luteal,5.9,2,2,2,2,2.1,179.3,144.6,37.4
Late Luteal,7.1,4,3,3,3,0.9,369.1,289.9,46.3
Ovulation,7.6,4,3,4,2,0.4,140.3,214.6,63.6
Late Luteal,6.6,2,2,1,2,1.4,305.0,405.0,34.4
Follicular,6.6,3,3,4,2,1.4,326.1,345.6,42.8
Follicular,6.3,3,5,5,1,1.7,19.2,0.0,54.4
Early Luteal,7.6,3,3,3,2,0.4,109.3,209.3,56.8
Follicular,6.5,3,2,3,3,1.5,459.9,399.3,34.3
Late Luteal,7.9,3,2,2,5,0.1,800.0,863.7,23.7
Late Luteal,5.5,3,3,3,2,2.5,175.9,154.9,31.9
Menstrual,6.8,4,2,3,3,1.2,294.2,394.2,40.4
Early Luteal,6.7,3,3,3,2,1.3,162.9,216.4,43.3
Menstrual,5.0,3,2,4,3,3.0,531.7,520.8,17.7
Early Luteal,6.6,4,3,3,5,1.4,800.0,812.7,25.7
Follicular,6.5,2,3,2,2,1.5,159.9,176.4,39.3
Ovulation,7.6,4,4,4,3,0.4,315.7,300.3,56.0
Follicular,5.5,4,2,3,3,2.5,263.5,274.2,40.8
Late Luteal,6.3,3,3,3,1,1.7,180.8,248.8,43.2
Follicular,6.7,3,3,4,2,1.3,138.9,149.9,48.2
Early Luteal,6.9,2,3,3,2,1.1,251.3,169.2,42.4
Ovulation,7.2,3,4,4,2,0.8,147.0,247.0,57.1
Follicular,6.3,4,3,3,1,1.7,50.8,128.8,54.7
Follicular,6.8,4,3,4,4,1.2,541.6,641.6,39.2
Ovulation,6.1,4,4,4,1,1.9,51.3,0.0,61.7
Early Luteal,6.5,2,2,2,4,1.5,484.4,543.0,22.1
Follicular,6.6,3,3,3,2,1.4,108.5,152.2,48.0
Follicular,7.9,5,4,3,2,0.1,161.0,240.3,71.8
Menstrual,6.7,3,3,5,2,1.3,132.8,5.3,47.1
Late Luteal,5.2,3,2,4,4,2.8,475.2,431.8,9.6
Early Luteal,8.6,4,4,3,1,0.0,57.3,29.4,76.7
Follicular,7.4,4,4,4,1,0.6,41.2,22.7,68.2
Follicular,6.0,4,2,3,3,2.0,432.1,381.3,38.3
Late Luteal,7.0,2,1,1,4,1.0,638.2,587.6,13.1
Follicular,6.0,4,3,4,2,2.0,222.4,203.8,52.7
Follicular,5.7,5,5,5,1,2.3,87.0,112.9,61.9
Follicular,6.9,5,3,4,4,1.1,645.4,745.4,42.5
Menstrual,5.7,2,4,3,2,2.3,147.1,91.6,30.4
Early Luteal,9.0,4,3,3,4,0.0,656.8,617.1,47.4
Ovulation,7.1,4,4,4,3,0.9,324.6,244.1,49.1
Early Luteal,7.5,4,3,4,2,0.5,300.8,269.6,59.3
Follicular,8.0,4,3,4,5,0.0,724.2,781.2,39.4
Menstrual,6.2,3,3,2,1,1.8,2.3,48.4,46.2
Follicular,7.9,4,3,4,3,0.1,376.6,329.8,54.2
Follicular,8.0,4,3,3,2,0.0,125.8,225.8,62.3
Follicular,5.7,3,4,4,1,2.3,46.9,124.2,48.0
Follicular,7.9,3,3,4,2,0.1,234.3,248.2,58.3
Follicular,8.3,3,4,3,2,0.0,134.9,2.6,63.6
Ovulation,7.3,4,4,4,3,0.7,406.4,385.1,52.8
Early Luteal,8.0,4,4,4,2,0.0,146.3,78.3,67.5
Early Luteal,8.3,5,4,4,2,0.0,139.9,114.6,75.3
Early Luteal,7.9,4,3,3,2,0.1,73.9,97.6,62.7
Menstrual,6.4,3,2,2,2,1.6,134.2,38.2,39.5
Ovulation,6.4,3,3,4,4,1.6,554.5,427.9,31.6
Late Luteal,6.9,2,2,2,1,1.1,47.1,58.9,46.2
Menstrual,7.4,4,2,3,3,0.6,266.3,259.1,48.3
Early Luteal,6.3,4,2,2,3,1.7,472.8,383.7,42.5
Menstrual,7.2,4,2,2,3,0.8,183.9,277.8,42.9
Early Luteal,7.9,5,4,4,2,0.1,201.9,111.1,65.4
Follicular,7.4,5,4,5,2,0.6,357.2,398.4,58.9
Late Luteal,6.8,2,3,2,2,1.2,186.1,283.7,38.2
Early Luteal,8.4,3,2,3,3,0.0,362.2,350.5,48.4
Late Luteal,7.2,4,3,3,1,0.8,57.8,53.6,61.3
Early Luteal,7.4,4,4,4,3,0.6,237.2,240.9,56.7
Early Luteal,6.8,3,3,3,3,1.2,311.3,288.7,39.8
Menstrual,5.8,4,3,3,2,2.2,161.2,115.3,41.0
Early Luteal,8.5,4,4,4,3,0.0,433.1,477.8,56.2
Menstrual,6.2,3,3,2,1,1.8,137.4,0.0,39.7
Ovulation,7.6,4,4,5,1,0.4,44.1,144.1,81.9
Late Luteal,5.7,3,2,2,3,2.3,393.4,474.9,21.2
Menstrual,8.3,4,3,3,2,0.0,193.7,191.8,57.6
Menstrual,6.8,4,3,2,3,1.2,340.1,174.8,40.7
Late Luteal,5.2,3,2,2,3,2.8,351.4,339.2,26.5
Early Luteal,7.7,4,4,4,3,0.3,425.3,396.5,52.9
Follicular,7.1,5,4,3,2,0.9,201.2,255.6,66.0
Late Luteal,5.9,2,3,2,2,2.1,227.5,154.8,30.2
Ovulation,6.3,3,4,4,2,1.7,76.7,0.0,51.0
Early Luteal,6.2,2,3,2,1,1.8,34.0,59.9,44.5
Menstrual,6.9,3,2,3,2,1.1,195.1,243.1,42.0
Early Luteal,6.5,4,4,3,2,1.5,382.5,365.1,48.0
Ovulation,7.5,4,3,4,2,0.5,251.4,227.5,60.9
Late Luteal,6.7,4,1,2,3,1.3,364.7,397.6,34.7
Late Luteal,6.8,2,3,3,1,1.2,55.8,155.8,51.6
Menstrual,6.1,3,4,3,1,1.9,213.2,231.8,48.3
Follicular,8.0,4,4,3,2,0.0,157.9,147.2,61.8
Ovulation,7.6,2,3,4,2,0.4,256.8,356.8,47.9
Follicular,6.6,3,3,3,4,1.4,609.0,581.9,27.8
Menstrual,5.9,3,3,3,2,2.1,191.7,260.4,37.2
Late Luteal,6.2,2,2,2,3,1.8,362.0,402.3,24.3
Menstrual,7.2,4,4,2,1,0.8,18.7,0.0,61.2
Follicular,7.6,4,3,4,3,0.4,360.6,264.3,50.0
Early Luteal,7.2,4,3,3,1,0.8,62.1,25.5,62.7
Ovulation,6.6,3,4,4,2,1.4,280.6,325.6,47.0
Menstrual,8.0,3,2,2,3,0.0,201.6,176.7,46.2
Late Luteal,6.4,3,3,3,2,1.6,286.4,90.1,37.2
Follicular,7.3,4,3,2,3,0.7,399.1,427.3,47.5
Menstrual,6.1,2,2,1,2,1.9,125.6,69.6,27.2
Early Luteal,7.0,2,3,2,2,1.0,107.4,101.6,41.9
Ovulation,6.5,3,2,3,2,1.5,226.4,152.3,42.3
Late Luteal,5.4,3,1,1,5,2.6,761.1,792.8,0.0
Ovulation,6.8,3,3,4,3,1.2,310.3,329.8,45.4
Late Luteal,7.9,3,3,1,2,0.1,77.7,79.9,49.8
Follicular,8.3,3,3,3,2,0.0,224.0,233.4,58.6
Follicular,6.8,4,3,3,2,1.2,221.1,77.5,54.6
Ovulation,7.8,4,3,3,2,0.2,263.8,342.5,60.3
Follicular,6.6,3,4,4,2,1.4,194.1,247.9,51.4
Early Luteal,5.9,4,4,4,2,2.1,248.4,274.0,45.8
Menstrual,7.6,5,3,2,2,0.4,102.0,2.9,60.6
Early Luteal,6.8,3,3,4,2,1.2,121.3,16.3,53.7
Menstrual,6.9,3,1,1,2,1.1,143.8,55.8,35.6
Late Luteal,5.2,3,3,2,1,2.8,66.3,38.0,41.4
Follicular,6.3,3,4,4,1,1.7,138.6,150.8,60.1
Early Luteal,5.9,2,2,2,3,2.1,349.1,318.8,20.8
Early Luteal,6.8,3,3,3,1,1.2,134.3,228.5,55.0
Menstrual,7.5,5,4,4,2,0.5,186.0,174.5,63.4
Ovulation,8.1,4,5,5,2,0.0,262.6,2.7,74.2
Menstrual,7.4,3,3,2,2,0.6,140.3,240.3,51.5
Ovulation,6.8,4,4,4,1,1.2,40.6,38.4,68.5
Early Luteal,7.5,5,4,4,2,0.5,112.8,212.8,68.9
Early Luteal,6.2,3,3,2,1,1.8,45.9,112.3,51.7
Follicular,6.2,3,3,2,2,1.8,227.7,276.8,46.0
Early Luteal,7.6,3,4,3,2,0.4,234.2,283.5,50.8
Late Luteal,5.1,3,2,2,2,2.9,201.1,222.6,20.0
Early Luteal,5.9,3,1,2,3,2.1,342.3,409.7,26.6
Late Luteal,7.3,3,3,3,2,0.7,265.9,240.0,48.9
Follicular,9.2,5,4,4,2,0.0,300.0,376.0,74.1
Ovulation,6.6,4,4,4,3,1.4,374.7,422.8,54.7
Late Luteal,5.5,2,1,2,4,2.5,541.9,641.9,8.0
Menstrual,6.9,3,2,2,3,1.1,332.5,372.8,31.8
Early Luteal,7.4,3,3,3,1,0.6,31.6,122.1,62.2
Follicular,7.2,4,3,3,2,0.8,299.1,198.6,58.7
Early Luteal,7.8,2,2,2,1,0.2,62.3,0.0,58.0
Late Luteal,7.2,4,3,2,3,0.8,458.6,468.2,39.8
Ovulation,7.9,4,5,4,3,0.1,413.1,330.4,62.4
Follicular,6.5,3,3,3,3,1.5,378.0,403.5,43.2
Follicular,6.6,3,3,3,2,1.4,286.6,181.7,43.0
Ovulation,5.6,3,2,3,2,2.4,165.6,67.8,43.0
Menstrual,6.0,3,3,2,2,2.0,227.5,196.4,38.7
Follicular,8.4,4,3,3,3,0.0,390.9,297.8,53.5
Early Luteal,7.5,5,4,3,2,0.5,332.4,281.1,65.6
Follicular,4.7,2,2,2,2,3.3,243.2,227.5,21.6
Early Luteal,6.9,2,2,3,3,1.1,449.5,342.5,25.1
Follicular,5.5,3,3,2,4,2.5,596.0,552.8,23.2
Menstrual,7.5,4,4,4,1,0.5,170.8,153.2,64.0
Late Luteal,6.4,3,3,2,2,1.6,181.1,238.0,39.2
Follicular,6.7,2,2,3,5,1.3,800.0,742.1,11.3
Ovulation,6.7,3,4,3,2,1.3,280.5,276.8,49.1
Menstrual,4.4,2,1,2,2,3.6,209.7,185.0,15.4
Follicular,6.8,2,3,3,2,1.2,172.7,265.9,43.9
Follicular,7.0,2,4,4,1,1.0,61.6,85.5,52.7
Late Luteal,4.6,2,2,2,2,3.4,145.2,188.0,20.0
Follicular,7.4,4,3,3,2,0.6,143.2,164.3,58.8
Ovulation,7.8,4,4,3,2,0.2,214.1,213.4,59.8
Follicular,6.9,2,3,3,3,1.1,402.0,405.4,35.1
Late Luteal,6.5,3,3,3,2,1.5,174.2,183.0,43.9
Ovulation,9.2,4,4,3,3,0.0,309.1,335.9,68.7
Late Luteal,6.4,3,2,1,3,1.6,444.1,406.1,22.6
Menstrual,6.2,1,2,3,1,1.8,66.7,142.6,31.3
Menstrual,6.3,2,2,2,1,1.7,20.2,14.5,39.1
Late Luteal,7.0,3,2,2,1,1.0,46.8,132.7,53.5
Follicular,5.3,3,3,4,3,2.7,449.8,300.8,30.7
Follicular,7.3,4,3,4,1,0.7,129.8,92.9,64.0
Follicular,8.9,5,4,5,2,0.0,54.7,108.9,79.0
Follicular,7.5,4,3,3,1,0.5,91.4,3.8,66.1
Menstrual,7.4,3,2,2,2,0.6,210.4,203.8,48.7
Late Luteal,7.2,3,2,3,2,0.8,174.2,131.7,44.8
Follicular,8.0,4,3,3,3,0.0,442.8,385.1,49.9
Ovulation,6.5,4,4,4,2,1.5,158.1,256.2,60.7
Late Luteal,7.9,4,3,3,3,0.1,481.7,482.2,50.5
Early Luteal,9.2,5,4,4,4,0.0,595.9,695.9,56.4
Follicular,8.0,4,4,4,1,0.0,11.9,0.0,73.8
Ovulation,6.8,3,4,4,2,1.2,282.3,308.0,56.0
Late Luteal,6.2,2,3,2,1,1.8,125.8,44.7,44.4
Early Luteal,7.4,5,4,3,3,0.6,429.4,457.2,60.7
Menstrual,6.6,4,3,3,4,1.4,531.8,521.7,30.5
Follicular,7.9,5,4,5,2,0.1,134.9,213.1,72.1
Follicular,8.2,4,5,4,1,0.0,137.8,110.6,72.6
Ovulation,6.8,2,2,3,2,1.2,112.1,180.4,47.2
Late Luteal,6.5,3,1,1,5,1.5,596.3,566.6,11.3
Early Luteal,8.2,4,3,3,2,0.0,126.9,111.4,67.5
Follicular,7.4,4,4,5,1,0.6,129.0,229.0,66.2
Follicular,8.0,5,5,5,2,0.0,116.8,86.3,72.0
Late Luteal,6.3,3,3,2,2,1.7,85.1,0.0,46.7
Late Luteal,6.5,4,4,3,2,1.5,182.1,173.3,46.8
Early Luteal,7.0,3,3,3,2,1.0,199.1,299.1,49.8
Menstrual,7.3,3,3,2,3,0.7,310.0,204.0,39.2
Menstrual,7.6,3,2,3,5,0.4,800.0,657.0,22.5
Follicular,7.4,4,4,4,2,0.6,136.4,103.3,60.7
Early Luteal,6.6,3,4,3,2,1.4,263.4,259.6,44.2
Follicular,8.0,4,4,5,2,0.0,134.4,148.1,72.8
Follicular,5.7,3,2,3,1,2.3,22.0,102.4,47.6
Late Luteal,6.3,3,2,2,2,1.7,207.3,307.3,40.8
Follicular,6.8,2,4,3,2,1.2,82.8,123.8,46.0
Early Luteal,7.0,4,4,4,2,1.0,266.9,226.0,49.7
Menstrual,8.4,3,2,2,4,0.0,632.0,707.4,34.0
Early Luteal,7.1,4,3,3,2,0.9,189.5,289.5,59.4
Follicular,6.3,5,4,4,2,1.7,67.4,16.0,57.9
Early Luteal,8.1,5,4,3,1,0.0,36.1,2.2,80.9
Late Luteal,5.6,2,3,2,1,2.4,127.0,227.0,38.8
Early Luteal,7.4,3,3,3,2,0.6,120.8,84.2,55.2
Menstrual,6.8,3,3,3,2,1.2,327.0,421.7,39.9
Menstrual,6.5,2,2,3,4,1.5,571.2,467.0,15.2
Early Luteal,7.7,5,4,4,4,0.3,590.9,643.8,45.5
Follicular,6.9,2,2,3,2,1.1,168.6,100.6,43.6
Late Luteal,6.8,3,3,3,1,1.2,163.7,236.2,46.6
Menstrual,6.6,4,3,2,1,1.4,54.3,110.8,53.8
Menstrual,5.3,2,2,2,2,2.7,68.1,0.0,23.9
Follicular,6.4,3,3,3,2,1.6,295.0,183.8,44.2
Follicular,7.5,4,3,4,2,0.5,104.4,141.0,65.8
Follicular,8.4,4,5,4,2,0.0,213.1,297.7,66.1
Early Luteal,7.6,4,3,4,2,0.4,118.4,218.4,59.2
Early Luteal,5.7,3,3,3,1,2.3,128.9,139.8,46.1
Early Luteal,8.6,4,3,4,3,0.0,385.0,265.1,52.4
Late Luteal,7.2,4,3,3,4,0.8,562.2,627.6,35.9
Early Luteal,7.9,5,3,3,2,0.1,49.2,0.0,69.3
Early Luteal,6.3,4,4,4,1,1.7,98.8,40.1,57.8
Follicular,9.5,4,4,4,5,0.0,659.3,528.7,47.8
Follicular,6.6,4,4,4,1,1.4,70.6,104.0,65.8
Late Luteal,8.1,5,3,3,5,0.0,657.6,632.0,41.3
Late Luteal,5.5,2,1,1,4,2.5,414.2,430.7,12.4
Follicular,6.7,3,4,4,1,1.3,117.9,58.9,56.7
Early Luteal,8.8,4,3,2,2,0.0,207.0,101.8,67.3
Follicular,6.0,3,3,4,2,2.0,335.3,435.3,43.2
Follicular,5.7,3,3,3,2,2.3,141.8,38.0,38.8
Late Luteal,7.1,4,3,3,2,0.9,163.5,116.7,52.1
Menstrual,6.5,3,2,2,3,1.5,246.6,185.1,32.2
Late Luteal,5.1,1,3,3,2,2.9,78.2,0.0,20.6
